ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf)
majestic-al-fresco-42-odgsr42ar-outdoor-gas-fireplace,Majestic,Outdoor Gas Fireplaces,ODGSR42ARN,ODGSR42,Al Fresco,pdf/odgsr42arn.pdf,odgsr42arn
majestic-ashland-36-radiant-wood-burning-fireplace-ash36,Majestic,Wood Fireplaces,ASH36,,Ashland,pdf/ash36.pdf,ash36
majestic-ashland-42-radiant-wood-burning-fireplace-ash42,Majestic,Wood Fireplaces,ASH42,,Ashland,pdf/ash42.pdf,ash42
majestic-ashland-50-radiant-wood-burning-fireplace-ash50,Majestic,Wood Fireplaces,ASH50,,Ashland,pdf/ash50.pdf,ash50
majestic-biltmore-36-radiant-wood-burning-fireplace-sb60,Majestic,Wood Fireplaces,SB60,,Biltmore,pdf/sb60.pdf,sb60
majestic-biltmore-42-radiant-wood-burning-fireplace-sb80,Majestic,Wood Fireplaces,SB80,,Biltmore,pdf/sb80.pdf,sb80
majestic-biltmore-50-radiant-wood-burning-fireplace-sb100,Majestic,Wood Fireplaces,SB100,,Biltmore,pdf/sb100.pdf,sb100
majestic-castlewood-42-outdoor-wood-burning-fireplace-odcastlewd-42,Majestic,Outdoor Wood Fireplaces,ODCASTLEWD-42,,Castlewood,pdf/odcastlewd-42.pdf,odcastlewd-42
majestic-corner-direct-vent-gas-fireplace-l-r-cor-dv36in,Majestic,Gas Fireplaces,RCOR-DV36IN,DV36IN,Corner,pdf/rcor-dv36in.pdf,rcor-dv36in
majestic-courtyard-36-outdoor-traditional-fireplace-odcoug-36,Majestic,Outdoor Gas Fireplaces,ODCOUG-36,ODCOUG-36,Courtyard,pdf/odcoug-36.pdf,odcoug-36
majestic-courtyard-42-high-definition-log-set-with-grate-hdlogs-odcoug-gr-odcoug,Majestic,Media Kits,"HDLOGS-ODCOUG, GR-ODCOUG",,Courtyard,"pdf/hdlogs-odcoug, gr-odcoug.pdf","hdlogs-odcoug, gr-odcoug"
majestic-courtyard-42-outdoor-traditional-fireplace-odcoug-42,Majestic,Outdoor Gas Fireplaces,ODCOUG-42,ODCOUG-42,Courtyard,pdf/odcoug-42.pdf,odcoug-42
majestic-courtyard-42-standard-log-set-with-grate-sdlogs-odcoug,Majestic,Media Kits,"SDLOGS-ODCOUG, GR-ODCOUG",,Courtyard,"pdf/sdlogs-odcoug, gr-odcoug.pdf","sdlogs-odcoug, gr-odcoug"
majestic-designer-see-thru-36-radiant-wood-burning-fireplace-dsr36,Majestic,Wood Fireplaces,DSR36,,Designer,pdf/dsr36.pdf,dsr36
majestic-designer-see-thru-42-radiant-wood-burning-fireplace-dsr42,Majestic,Wood Fireplaces,DSR42,,Designer,pdf/dsr42.pdf,dsr42
majestic-driftwood-log-set-dwlg-mi-maj,Majestic,Media Kits,DWLG-MI-MAJ,DWLG,Driftwood,pdf/dwlg-mi-maj.pdf,dwlg-mi-maj
majestic-driftwood-log-set-for-jade-series-drtwood-jade,Majestic,Media Kits,DRTWOOD-JADE,,Driftwood,pdf/drtwood-jade.pdf,drtwood-jade
majestic-duzy-2-logs-vdy30d2a-4-piece-fiber-ceramic-log-set-for-vdy30,Majestic,Gas Log Sets,VDY30D2A,VDY30,Duzy,pdf/vdy30d2a.pdf,vdy30d2a
majestic-duzy-3-logs-vdy24-18d3r-6-piece-refractory-cement-log-set-for-vdy24-18-18-rear-log-for-narr,Majestic,Gas Log Sets,VDY24/18D3R,VDY24,Duzy,pdf/vdy24/18d3r.pdf,vdy24/18d3r
majestic-duzy-3-logs-vdy30d3r-6-piece-refractory-cement-log-set-for-vdy30,Majestic,Gas Log Sets,VDY30D3R,VDY30,Duzy,pdf/vdy30d3r.pdf,vdy30d3r
majestic-echelon-48-driftwood-log-set,Majestic,Media Kits,LOGS-DRTWOOD-48,,Echelon,pdf/logs-drtwood-48.pdf,logs-drtwood-48
majestic-echelon-60-driftwood-log-set-logs-drtwood-60,Majestic,Media Kits,LOGS-DRTWOOD-60,,Echelon,pdf/logs-drtwood-60.pdf,logs-drtwood-60
majestic-echelon-72-driftwood-log-set-logs-drtwood-72,Majestic,Media Kits,LOGS-DRTWOOD-72,,Echelon,pdf/logs-drtwood-72.pdf,logs-drtwood-72
majestic-echelon-ii-36-inch-See-Thru-linear-direct-vent-gas-fireplace-echel36stin-c,Majestic,Gas Fireplaces,ECHEL36STIN-C,ECHEL36STIN,,pdf/echel36stin-c.pdf,echel36stin-c
majestic-echelon-ii-36-inch-linear-direct-vent-gas-fireplace-echel36in-c,Majestic,Gas Fireplaces,ECHEL36IN-C,ECHEL36IN,Echelon II,pdf/echel36in-c.pdf,echel36in-c
majestic-echelon-ii-36-inch-see-through-linear-direct-vent-gas-fireplace-echel36stin-c,Majestic,Gas Fireplaces,ECHEL36STIN-C,ECHEL36STIN,Echelon II,pdf/echel36stin-c.pdf,echel36stin-c
majestic-echelon-ii-48-inch-See-Thru-linear-direct-vent-gas-fireplace-echel48stin-c,Majestic,Gas Fireplaces,ECHEL48STIN-C,ECHEL48STIN,,pdf/echel48stin-c.pdf,echel48stin-c
