ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf),matched_manual
empire-innsbrook-large-clean-face-direct-vent-gas-insert-dvc28in,Empire,Gas Inserts,DVC28IN31N,DVC28,Innsbrook,pdf/dvc28in31n.pdf,dvc28in31n,Empire/DVC202628IN37-1.pdf
majestic-ruby-25-direct-vent-gas-insert-ruby25,Majestic,Gas Inserts,RUBY25IN,RUBY25,Ruby,pdf/ruby25in.pdf,ruby25in,"Majestic/RUBY25,30,35 - RUBY.pdf"
majestic-echelon-ii-36-inch-See-Thru-linear-direct-vent-gas-fireplace-echel36stin-c,Majestic,Gas Fireplaces,ECHEL36STIN-C,ECHEL36STIN,,pdf/echel36stin-c.pdf,echel36stin-c,"Majestic/ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf"
empire-vail-premium-36-peninsula-and-see-thru-vent-free-fireplace-vfp36,Empire,Gas Fireplaces,VFP36PP32EN,VFP36,Vail,pdf/vfp36pp32en.pdf,vfp36pp32en,Empire/VFPSPPP32ENP-2-1.pdf
dimplex-ignitexl-50-inch-wall-mount-linear-electric-fireplace-xlf50,Dimplex,Electric Fireplaces,XLF50,,IgniteXL,pdf/xlf50.pdf,xlf50,Dimplex/XLF100_Dimplex.pdf
empire-cast-iron-compact-direct-vent-gas-stove-dvp20cc,Empire,Gas Stoves,DVP20CC30FN,DVP20,Cast Iron,pdf/dvp20cc30fn.pdf,dvp20cc30fn,Empire/DVP4248FP3579.pdf
majestic-villawood-36-outdoor-wood-fireplace-odvilla-36t-odvilla-36h,Majestic,Outdoor Wood Fireplaces,ODVILLA-36T,,Villawood,pdf/odvilla-36t.pdf,odvilla-36t,"Majestic/MDVI30,35 - RUBY - INSTALLATION.pdf"
majestic-24-fireside-versawood-refractory-cement-log-set-fvw24,Majestic,Media Kits,FVW24,FVW24,Fireside Versawood,pdf/fvw24.pdf,fvw24,"Majestic/VDY18,24,30 - DUZY.pdf"
empire-tahoe-deluxe-42-clean-face-direct-vent-gas-fireplace-dvcd42fp,Empire,Gas Fireplaces,DVCD42FP30N,DVCD42,Tahoe,pdf/dvcd42fp30n.pdf,dvcd42fp30n,Empire/DVCD323642FP3701NP-4-Homeowners.pdf
dimplex-prism-74-inch-wall-mounted-electric-fireplace-blf7451,Dimplex,Electric Fireplaces,BLF7451,,Prism,pdf/blf7451.pdf,blf7451,Dimplex/XLF100_Dimplex.pdf
majestic-twilight-ii-modern-indoor-outdoor-See-Thru-gas-fireplace-twilight-ii-mdc,Majestic,Gas Fireplaces,TWILIGHT-II-MDC,TWILIGHT,,pdf/twilight-ii-mdc.pdf,twilight-ii-mdc,Majestic/WarmMajic-II - Installation Manual - Woodburning Fireplace.pdf
empire-boulevard-60-linear-vent-free-see-thru-gas-fireplace-vflb60sp,Empire,Gas Fireplaces,VFLB60SP90N,VFLB60,Boulevard,pdf/vflb60sp90n.pdf,vflb60sp90n,Empire/VFLB60SP90NP-1-Homeowner-Copy.pdf
majestic-24-campfire-fiber-gas-log-set-natural-gas-cfl-24ng-c,Majestic,Gas Log Sets,CFL-24NG-C,CFL-24,Campfire,pdf/cfl-24ng-c.pdf,cfl-24ng-c,"Majestic/CFL-18-C,24-C, 30-C_owners-manual.pdf"
dimplex-ignitexl-60-inch-wall-mount-linear-electric-fireplace-xlf60,Dimplex,Electric Fireplaces,XLF60,,IgniteXL,pdf/xlf60.pdf,xlf60,Dimplex/XLF100_Dimplex.pdf
empire-boulevard-41-direct-vent-traditional-linear-gas-fireplace-dvtl41,Empire,Gas Fireplaces,DVTL41BP90N,DVTL41,Boulevard,pdf/dvtl41bp90n.pdf,dvtl41bp90n,Empire/DVLL41FP-Boulevard-Direct-Vent-Linear-Contemporary-Fireplace.pdf
majestic-echelon-ii-72-inch-linear-direct-vent-gas-fireplace-echel72in-c,Majestic,Gas Fireplaces,ECHEL72IN-C,ECHEL72IN,Echelon II,pdf/echel72in-c.pdf,echel72in-c,"Majestic/ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf"
empire-loft-medium-direct-vent-gas-insert-dvl33in,Empire,Gas Inserts,DVL33IN32N,DVL33,Loft,pdf/dvl33in32n.pdf,dvl33in32n,Empire/DVL2533IN.pdf
empire-rushmore-40-clean-face-see-through-direct-vent-gas-fireplace-dvct40csp,Empire,Gas Fireplaces,DVCT40CSP95N,DVCT40,Rushmore,pdf/dvct40csp95n.pdf,dvct40csp95n,Empire/DVCT40CSP95NP-1-Installer 40651-3-0520.pdf
majestic-30-campfire-fiber-gas-log-set-natural-gas-cfl-30ng-c,Majestic,Gas Log Sets,CFL-30NG-C,CFL-30,Campfire,pdf/cfl-30ng-c.pdf,cfl-30ng-c,"Majestic/CFL-18-C,24-C, 30-C_owners-manual.pdf"
empire-vail-premium-36-slope-glaze-burner-vent-free-gas-fireplace-vfpa36,Empire,Gas Fireplaces,VFPA36BP30LN,VFPA36,Vail,pdf/vfpa36bp30ln.pdf,vfpa36bp30ln,Empire/VFPA32  VFPA36 39025-2-0620-VFPA3236BP3701LNP-2-Installer.pdf
majestic-24-campfire-fiber-gas-log-set-propane-gas-cfl-24lp-c,Majestic,Gas Log Sets,CFL-24LP-C,CFL-24,Campfire,pdf/cfl-24lp-c.pdf,cfl-24lp-c,"Majestic/CFL-18-C,24-C, 30-C_owners-manual.pdf"
empire-tahoe-premium-42-clean-face-direct-vent-gas-fireplace-dvcp42bp,Empire,Gas Fireplaces,DVCP42BP30N,DVCP42,Tahoe,pdf/dvcp42bp30n.pdf,dvcp42bp30n,Empire/DVCC323642BP-4-Installer.pdf
empire-tahoe-premium-32-clean-face-contemporary-direct-vent-gas-fireplace-dvcc32bp,Empire,Gas Fireplaces,DVCC32BP32N,DVCC32,Tahoe,pdf/dvcc32bp32n.pdf,dvcc32bp32n,Empire/DVCC323642BP-4-Installer.pdf
majestic-marquis-ii-36-direct-vent-gas-fireplace-marq36in,Majestic,Gas Fireplaces,MARQ36IN-B,MARQ36IN,Marquis II,pdf/marq36in-b.pdf,marq36in-b,"Majestic/MARQ36,42-B - MARQUIS - INSTALLATION.pdf"
majestic-ruby-30-direct-vent-gas-insert-ruby30,Majestic,Gas Inserts,RUBY30IN,RUBY30,Ruby,pdf/ruby30in.pdf,ruby30in,"Majestic/RUBY25,30,35 - RUBY.pdf"
modern-flames-ambiance-clx2-80-electric-fireplace-al80clx2-g,Modern Flames,Electric Fireplaces,AL80CLX2-G,,Ambiance,pdf/al80clx2-g.pdf,al80clx2-g,Modern Flames/Manual-AL-CLX-2.pdf
empire-carol-rose-coastal-linear-48-vent-free-outdoor-gas-fireplace-oll48fp,Empire,Outdoor Gas Fireplaces,OLL48FP12SN,OLL48,Carol Rose,pdf/oll48fp12sn.pdf,oll48fp12sn,Empire/DVLL41FP-Boulevard-Direct-Vent-Linear-Contemporary-Fireplace.pdf
majestic-montana-36-wood-fireplace-montana-36-montana-36h,Majestic,Outdoor Wood Fireplaces,MONTANA-36,,Montana,pdf/montana-36.pdf,montana-36,"Majestic/MARQ36,42-B - MARQUIS - INSTALLATION.pdf"
